---
Title: 1 - Kapitel und Szenen
Description: In diesem Kapitel lernen wir Noah kennen
Author: Thomas Hottinger
Date: 2025-02-01
Template: index
Ordering: 5
---
# Noah's Exodus - Kapitel & Szenen-Tabelle

| Akt | Kapitel | Szene | Titel | Wörter | Zeit/Ort | Inhalt | Wendepunkt |
|-----|---------|-------|-------|--------|----------|--------|------------|
| I | **1** | 1.1 | Morgenkontemplation | 1.100 | 6:30 / Zelle | Noah in tiefer Meditation nach der Laudes - spiritueller Höhepunkt | |
| I | **1** | 1.2 | Seelsorge mit Michael | 1.000 | 14:30 / Terminal | Gespräch über Zweifel, Präsenz vs. Analyse, "Wolke des Nichtwissens", der Stein | |
| I | **1** | 1.3 | Tagesablauf | 1.200 | 16:00-21:00 / Verschiedene | Studium, Abendgebet, Essen, Kyudo (erste Störungen), nächtliche Unruhe | **Etablierung** |
| I | **2** | 2.1 | Erwachen und Glitch | 1.500 | 5:30-6:00 / Laudes | Unruhige Nacht → Laudes → erster Glitch, Gespräch mit Thomas | |
| I | **2** | 2.2 | Virtueller Spaziergang | 850 | 9:30 / Klostergarten | Noah sucht Ruhe nach Glitch, trifft Sebastian - zeitliche Unstimmigkeiten, Noah macht sich Sorgen | |
| I | **2** | 2.3 | Wachsende Unruhe | 1.000 | 14:00-21:00 / Zelle | Noah beginnt bewusst Muster zu erkennen, erste Tests | **Erste Störung** |
| I | **3** | 3.1 | Rückblende: Sarahs Tod | 1.100 | Vergangenheit / Elternhaus | Noahs Jugend, Schwester stirbt, spirituelle Krise | |
| I | **3** | 3.2 | Der Klostereintritt | 900 | Vor 25 Jahren / Kloster | Entscheidung, Vaters Widerstand, Profess | |
| I | **3** | 3.3 | Weisheit des Mentors | 1.150 | Gegenwart / Terminal | Noah berät jungen Novizen, zeigt Empathie | **Charakterentwicklung** |
| I | **4** | 4.1 | Déjà-vu-Gespräche | 1.300 | Vormittag / Terminal | Exakt gleiche Unterhaltungen wie vor Wochen | |
| I | **4** | 4.2 | Vorhersagbare Reaktionen | 1.000 | Nachmittag / Terminal | Mitbrüder antworten wie Automaten | |
| I | **4** | 4.3 | Erste bewusste Zweifel | 850 | Abend / Zelle | Noah erkennt die Muster, wird unruhig | **Stagnation erkannt** |
| I | **5** | 5.1 | Multiple Glitches | 1.400 | Ganzer Tag / Zelle | Mehrere Ausfälle, Formenergie instabil | |
| I | **5** | 5.2 | Terminal-Verzögerungen | 900 | Nachmittag / Kommunikation | Gespräche stocken, seltsame Pausen | |
| I | **5** | 5.3 | Wachsende Paranoia | 850 | Abend / Zelle | Noah beginnt zu zweifeln, was real ist | **Spannung steigt** |
| I | **6** | 6.1 | Bitte um Gespräch | 800 | Morgen / Terminal | Noah kontaktiert Prior wegen seiner Sorgen | |
| I | **6** | 6.2 | Ausweichende Antworten | 1.400 | Mittag / Priors Büro | Prior beruhigt, wirkt aber seltsam distanziert | |
| I | **6** | 6.3 | Unbefriedigende Lösung | 950 | Abend / Zelle | Noah fühlt sich nicht ernst genommen | **Zweifel verstärken sich** |
| I | **7** | 7.1 | Schlaflose Nacht | 1.200 | 23:00 / Zelle | Noah wälzt sich, kann nicht schlafen | |
| I | **7** | 7.2 | 25 Jahre Rückblick | 1.100 | Nacht / Meditation | Reflexion über Klosterzeit, Berufung hinterfragen | |
| I | **7** | 7.3 | Zweifel an der Echtheit | 850 | 4:00 / Fenster | Starrt in virtuelle Nacht, fragt sich: Ist das real? | **Innere Krise** |
| I | **8** | 8.1 | Normaler Vormittag | 800 | 8:00 / Zelle | Routine vor dem Sturm, trügerische Ruhe | |
| I | **8** | 8.2 | Der Schock-Glitch | 1.500 | 14:00 / Terminal | Totaler Ausfall, verängstigter Prior, Warnung vor "Teufel" | |
| I | **8** | 8.3 | Verwirrung und Entsetzen | 850 | 14:30 / Zelle | Noah völlig verstört, kann nicht fassen was passiert | **Inciting Incident** |
| I | **9** | 9.1 | Priors Leugnen | 1.000 | 15:00 / Terminal | Prior "normal", bestreitet Vorfall | |
| I | **9** | 9.2 | Innerer Kampf | 1.200 | Abend / Zelle | Noah ringt mit Entscheidung, Komfort vs. Wahrheit | |
| I | **9** | 9.3 | Der Entschluss | 950 | Nacht / Tür | Entscheidet sich zu gehen, öffnet erstmals die Zellentür | **Plot Point 1** |
| II | **10** | 10.1 | Die Schwelle | 900 | Zellentür | Erste Schritte nach 25 Jahren, Angst und Aufregung | |
| II | **10** | 10.2 | Unterirdische Korridore | 1.300 | Gang | Virtuelle Klosterarchitektur, unheimliche Leere | |
